trade_date,ts_code,close,settle,vol,amount,oi
20200415,AL2006.SHF,11950.0,11910.0,107348.0,639371.4725,139056.0
20200414,AL2006.SHF,11770.0,11770.0,53035.0,312234.485,141688.0
20200413,AL2006.SHF,11755.0,11785.0,73504.0,433268.5725,141380.0
20200410,AL2006.SHF,11845.0,11765.0,87611.0,515422.335,137944.0
20200409,AL2006.SHF,11655.0,11640.0,72427.0,421611.7425,137719.0
20200408,AL2006.SHF,11620.0,11580.0,78156.0,452688.26,138326.0
20200407,AL2006.SHF,11620.0,11635.0,89565.0,521222.6725,136534.0
20200403,AL2006.SHF,11545.0,11530.0,99546.0,573885.4475,135504.0
20200402,AL2006.SHF,11475.0,11355.0,128600.0,730383.855,134491.0
20200401,AL2006.SHF,11445.0,11540.0,83590.0,482480.075,133318.0
20200331,AL2005.SHF,11570.0,11570.0,46790.0,270723.6875,119452.0
20200330,AL2005.SHF,11515.0,11560.0,77006.0,445259.1725,121935.0
20200327,AL2005.SHF,11740.0,11685.0,90690.0,529856.5325,126260.0
20200326,AL2005.SHF,11640.0,11655.0,84326.0,491578.02,129044.0
20200325,AL2005.SHF,11700.0,11530.0,100165.0,577656.535,130751.0
20200324,AL2005.SHF,11435.0,11405.0,76489.0,436246.9575,137117.0
20200323,AL2005.SHF,11345.0,11375.0,143645.0,817021.855,141778.0
20200320,AL2005.SHF,11995.0,11970.0,117717.0,704656.22,142189.0
20200319,AL2005.SHF,11805.0,11940.0,128863.0,769318.735,146150.0
20200318,AL2005.SHF,12300.0,12480.0,145746.0,909475.575,155405.0
20200317,AL2005.SHF,12740.0,12745.0,68751.0,438272.935,153813.0
20200316,AL2005.SHF,12820.0,12875.0,60353.0,388556.07,151506.0
20200313,AL2005.SHF,12920.0,12865.0,99683.0,641303.2125,147754.0
20200312,AL2005.SHF,12870.0,12865.0,64231.0,413223.3875,149041.0
20200311,AL2005.SHF,12935.0,12960.0,46964.0,304347.8975,149329.0
20200310,AL2005.SHF,12985.0,12970.0,65427.0,424378.6225,148631.0
20200309,AL2005.SHF,12890.0,12915.0,95705.0,618218.695,143519.0
20200306,AL2005.SHF,13175.0,13170.0,57706.0,379994.1575,136363.0
20200305,AL2005.SHF,13245.0,13230.0,47219.0,312416.77,132234.0
20200304,AL2004.SHF,13205.0,13175.0,40152.0,264549.98,121811.0
20200303,AL2004.SHF,13280.0,13295.0,41526.0,276124.6725,124579.0
20200302,AL2004.SHF,13255.0,13215.0,76483.0,505481.4925,126678.0
20200228,AL2004.SHF,13110.0,13240.0,100672.0,666486.7075,131339.0
20200227,AL2004.SHF,13430.0,13450.0,44500.0,299314.2725,131547.0
20200226,AL2004.SHF,13490.0,13510.0,34701.0,234413.6775,125501.0
20200225,AL2004.SHF,13535.0,13500.0,45488.0,307095.65,127080.0
20200224,AL2004.SHF,13530.0,13505.0,56103.0,378888.29,128302.0
20200221,AL2004.SHF,13580.0,13610.0,45659.0,310752.63,124422.0
20200220,AL2004.SHF,13670.0,13675.0,30826.0,210814.395,113884.0
20200219,AL2004.SHF,13710.0,13705.0,25373.0,173883.435,107398.0
20200218,AL2004.SHF,13725.0,13710.0,33946.0,232721.375,104009.0
20200217,AL2004.SHF,13690.0,13680.0,33817.0,231340.585,101744.0
20200214,AL2004.SHF,13720.0,13725.0,24129.0,165605.285,95773.0
20200213,AL2004.SHF,13730.0,13735.0,19797.0,135987.9225,92876.0
20200212,AL2003.SHF,13745.0,13765.0,35508.0,244432.37,87284.0
20200211,AL2003.SHF,13780.0,13775.0,48198.0,332002.38,88973.0
20200210,AL2003.SHF,13715.0,13690.0,32053.0,219480.565,88701.0
20200207,AL2003.SHF,13725.0,13700.0,23924.0,163889.5525,84114.0
20200206,AL2003.SHF,13670.0,13660.0,19808.0,135294.6225,85312.0
20200205,AL2003.SHF,13625.0,13615.0,39395.0,268188.4325,86792.0
20200204,AL2003.SHF,13605.0,13585.0,45158.0,306739.055,90886.0
20200203,AL2003.SHF,13605.0,13655.0,96212.0,656895.865,97907.0
20200123,AL2003.SHF,14100.0,14125.0,44599.0,315007.975,117858.0
20200122,AL2003.SHF,14165.0,14130.0,48264.0,341055.0,121964.0
20200121,AL2003.SHF,14120.0,14170.0,73944.0,524057.1875,126373.0
20200120,AL2003.SHF,14210.0,14240.0,89594.0,638092.435,133754.0
