cal_date,ppi_yoy,ppi_mom,ppi_accu,nt_val,town_val,cnt_val,m0,m1,m2,gdp,pi,si,ti,trade_date,ts_code,close,settle,vol,amount,oi
20180911,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180911.0,AL1811.SHF,14720.0,14770.0,269572.0,1991022.905,287796.0
20180912,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180912.0,AL1811.SHF,14555.0,14600.0,244432.0,1784923.075,294848.0
20180913,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180913.0,AL1811.SHF,14505.0,14530.0,254072.0,1846324.97,290626.0
20180914,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180914.0,AL1811.SHF,14585.0,14585.0,231056.0,1685368.325,286706.0
20180917,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180917.0,AL1811.SHF,14445.0,14530.0,234572.0,1704705.98,291528.0
20180918,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180918.0,AL1811.SHF,14485.0,14465.0,161966.0,1171439.905,283890.0
20180919,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180919.0,AL1811.SHF,14535.0,14500.0,202514.0,1468648.165,274774.0
20180920,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180920.0,AL1811.SHF,14575.0,14540.0,178896.0,1300920.93,263070.0
20180921,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180921.0,AL1811.SHF,14700.0,14670.0,287190.0,2107218.07,249264.0
20180925,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180925.0,AL1811.SHF,14610.0,14620.0,131910.0,964350.235,232748.0
20180926,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180926.0,AL1811.SHF,14540.0,14600.0,183492.0,1339935.215,226350.0
20180927,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180927.0,AL1811.SHF,14360.0,14490.0,205008.0,1485770.29,229446.0
20180928,3.6,0.6,4.0,102.5,102.4,102.5,71254.26,538574.08,1801665.58,646710.9,39799.8,261822.8,345088.2,20180928.0,AL1811.SHF,14310.0,14330.0,175082.0,1254801.105,214542.0
20181008,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181008.0,AL1811.SHF,14450.0,14375.0,128934.0,926873.72,216204.0
20181009,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181009.0,AL1811.SHF,14560.0,14515.0,177938.0,1291418.685,206012.0
20181010,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181010.0,AL1811.SHF,14400.0,14490.0,177222.0,1283987.56,204892.0
20181011,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181011.0,AL1812.SHF,14220.0,14290.0,163780.0,1170399.0,230662.0
20181012,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181012.0,AL1812.SHF,14325.0,14255.0,137884.0,983009.73,225942.0
20181015,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181015.0,AL1812.SHF,14180.0,14240.0,128506.0,915145.87,228016.0
20181016,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181016.0,AL1812.SHF,14245.0,14220.0,162412.0,1154931.195,222272.0
20181017,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181017.0,AL1812.SHF,14300.0,14300.0,144728.0,1035042.68,221196.0
20181018,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181018.0,AL1812.SHF,14140.0,14155.0,247326.0,1750559.495,229280.0
20181019,3.3,0.4,3.9,102.5,102.5,102.6,70106.62,540128.37,1795561.6,900309.5,64734.0,366000.9,469574.6,20181019.0,AL1812.SHF,14145.0,14135.0,157644.0,1114415.705,234440.0
